Match_Id,Player_Id,Player_team,Opposit_Team,Player_Captain,Opposit_captain,Player_keeper,Opposit_keeper
1082607,255,Royal Challengers Bangalore,Rising Pune Supergiants,V Kohli,SPD Smith,KM Jadhav,MS Dhoni
1082607,258,Rising Pune Supergiants,Royal Challengers Bangalore,SPD Smith,V Kohli,MS Dhoni,KM Jadhav
1082607,270,Royal Challengers Bangalore,Rising Pune Supergiants,V Kohli,SPD Smith,KM Jadhav,MS Dhoni
1082607,306,Rising Pune Supergiants,Royal Challengers Bangalore,SPD Smith,V Kohli,MS Dhoni,KM Jadhav
1082607,322,Royal Challengers Bangalore,Rising Pune Supergiants,V Kohli,SPD Smith,KM Jadhav,MS Dhoni
1082607,346,Rising Pune Supergiants,Royal Challengers Bangalore,SPD Smith,V Kohli,MS Dhoni,KM Jadhav
1082607,382,Royal Challengers Bangalore,Rising Pune Supergiants,V Kohli,SPD Smith,KM Jadhav,MS Dhoni
1082607,386,Rising Pune Supergiants,Royal Challengers Bangalore,SPD Smith,V Kohli,MS Dhoni,KM Jadhav
1082607,406,Rising Pune Supergiants,Royal Challengers Bangalore,SPD Smith,V Kohli,MS Dhoni,KM Jadhav
1082607,452,Royal Challengers Bangalore,Rising Pune Supergiants,V Kohli,SPD Smith,KM Jadhav,MS Dhoni
1082607,461,Royal Challengers Bangalore,Rising Pune Supergiants,V Kohli,SPD Smith,KM Jadhav,MS Dhoni
1082607,476,Rising Pune Supergiants,Royal Challengers Bangalore,SPD Smith,V Kohli,MS Dhoni,KM Jadhav
1082607,488,Rising Pune Supergiants,Royal Challengers Bangalore,SPD Smith,V Kohli,MS Dhoni,KM Jadhav
1082607,490,Rising Pune Supergiants,Royal Challengers Bangalore,SPD Smith,V Kohli,MS Dhoni,KM Jadhav
1082608,15,Delhi Daredevils,Kolkata Knight Riders,Z Khan,G Gambhir,RR Pant,RV Uthappa
1082608,31,Kolkata Knight Riders,Delhi Daredevils,G Gambhir,Z Khan,RV Uthappa,RR Pant
1082608,40,Kolkata Knight Riders,Delhi Daredevils,G Gambhir,Z Khan,RV Uthappa,RR Pant
1082608,46,Kolkata Knight Riders,Delhi Daredevils,G Gambhir,Z Khan,RV Uthappa,RR Pant
1082608,96,Kolkata Knight Riders,Delhi Daredevils,G Gambhir,Z Khan,RV Uthappa,RR Pant
1082608,136,Delhi Daredevils,Kolkata Knight Riders,Z Khan,G Gambhir,RR Pant,RV Uthappa
1082608,191,Delhi Daredevils,Kolkata Knight Riders,Z Khan,G Gambhir,RR Pant,RV Uthappa
1082608,232,Kolkata Knight Riders,Delhi Daredevils,G Gambhir,Z Khan,RV Uthappa,RR Pant
1082608,308,Kolkata Knight Riders,Delhi Daredevils,G Gambhir,Z Khan,RV Uthappa,RR Pant
1082608,315,Kolkata Knight Riders,Delhi Daredevils,G Gambhir,Z Khan,RV Uthappa,RR Pant
1082608,339,Delhi Daredevils,Kolkata Knight Riders,Z Khan,G Gambhir,RR Pant,RV Uthappa
1082608,347,Delhi Daredevils,Kolkata Knight Riders,Z Khan,G Gambhir,RR Pant,RV Uthappa
1082608,350,Delhi Daredevils,Kolkata Knight Riders,Z Khan,G Gambhir,RR Pant,RV Uthappa
